,Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
15,Flávio Bolsonaro agradece a Trump por taxar o Brasil.,Estadão,https://www.estadao.com.br/estadao-verifica/pt-enganoso-flavio-agradece-trump-taxas-brasil/,Falso,2026-06-03 17:51:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSyNQnZYJTMVbVxya2_YCwI61lIjBCVJEYXe3D0VxMt-E7HfEnP,"['Flávio Bolsonaro', 'Donald Trump', 'Brasil', 'Taxa']"
16,FBI pediu prisão de Flávio Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/fbi-prisao-flavio-bolsonaro/,Falso,2026-06-02 20:12:36,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSnDY5keXQRvLYn05jvu6Q0kUmDMcJfCi5H6ZcShQHI0YIV5WWR,"['Flávio Bolsonaro', 'Federal Bureau of Investigation', 'Prisão']"
17,Deu ruim! Moraes vai para cima e manda PF prender Flávio e Eduardo Bolsonaro após encontro com Trump,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/06/02/falso-moraes-mandado-prisao-flavio-eduardo-bolsonaro.ghtm,Falso,2026-06-02 17:40:53,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSgfY9BC1AOgHVU9Usir4wPZ9RLgZ17MvhpbujcHiJQgJW5654s,"['Eduardo Bolsonaro', 'Flávio Bolsonaro', 'Alexandre de Moraes', 'Donald Trump', 'Polícia Federal', 'Departamento de Polícia Federal']"
18,PF concluiu investigação sobre pedido de dinheiro feito por Flávio Bolsonaro a Daniel Vorcaro,Estadão,https://www.estadao.com.br/estadao-verifica/falso-pf-conclui-investigacao-mensagens-flavio-bolsonaro-vorcaro/,Falso,2026-06-02 16:38:03,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSYBoHlY9ayxdaDUWUgWu_l4JUd02NcBSt2W9twILOsI3J2KPel,"['Flávio Bolsonaro', 'Polícia Federal', 'Daniel Vorcaro', 'Departamento de Polícia Federal', 'Pesquisa', 'Dinheiro']"
19,Casa Branca desmente encontro entre Flávio Bolsonaro com Donald Trump,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/06/01/falso-casa-branca-desmente-reuniao-donald-trump-flavio-bolsonaro.ghtm,Falso,2026-06-01 23:15:55,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSp5-iy4biHeCQ1BMoJgzGtv7JcksrOjh1NEA1_uEEMoRJv_Fvw,"['Flávio Bolsonaro', 'Donald Trump', 'Casa Branca']"
20,Lula foge do palácio aos gritos de volta Bolsonaro,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/05/07/lula-nao-saiu-do-palco-apos-gritos-pro-bolsonaro-audio-e-manipulado.ghtm,Falso,2026-05-07 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRZ6abGEWUU4Cgqwoa6JezPMJHI8r7f2jet680s5S2ivqVkFOT8,"['Luiz Inácio Lula da Silva', 'Jair Bolsonaro', 'Grito']"
21,Shakira delcarou apoio a Flávio e a Jair Bolsonaro durante show em Copacabana,AFP Checamos,https://checamos.afp.com/doc.afp.com.B22G4WE,Falso,2026-05-06 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSxqQiuqnNWEFs9PZHc-H-trjN_HPWwT6nofYZ9F6ccCOCYBrE_,"['Shakira', 'Jair Bolsonaro', 'Flávio Bolsonaro', 'Copacabana', 'Espetáculo']"
22,Jair Renan filho de Bolsonaro é alvo de operação policial em 2026,AFP Checamos,https://checamos.afp.com/doc.afp.com.A9ZT363,Falso,2026-05-06 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQqK530FmiITbKQu_yj6HsGFyzmjK_cbh-azDGKyzfhptCGEd0R,"['Jair Renan Bolsonaro', 'Jair Bolsonaro', 'Polícia', '2026']"
23,"Shakira declarou apoio a Bolsonaro durante show em Copacabana, no Rio",BOL - UOL,https://www.bol.uol.com.br/noticias/2026/05/05/shakira-nao-deu-declaracao-de-apoio-a-bolsonaro-video-e-ia.ghtm,Falso,2026-05-05 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTidDxHHXqMpqFLQJmRIqrqNnrt-U6_PRuRDlezwEjGdIFYbgfm,"['Shakira', 'Jair Bolsonaro', 'Rio de Janeiro', 'Copacabana']"
24,Shakira declarou apoio a Jair Bolsonaro durante show em Copacabana,Aos Fatos,https://www.aosfatos.org/noticias/shakira-lula-bolsonaro-show-brasil/,Falso,2026-05-04 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4WqwPPD1Q5Ioa2y6ehyV3nk9vnuJVjFfRTPfYnb7LQhKBzK-f,"['Jair Bolsonaro', 'Shakira', 'Espetáculo', 'Copacabana']"
25,Polícia Federal confirma: Bolsonaro nunca usou cartão corporativo da Presidência,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/05/03/pf-nao-disse-que-bolsonaro-nao-usou-cartao-corporativo-durante-mandato.ghtm,Falso,2026-05-03 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSzQkWh3Wqq4z409RkmRG15dp-LWYXJdzq06BbD7Ze5h8rArvy,"['Jair Bolsonaro', 'Polícia Federal', 'Departamento de Polícia Federal', 'Cartão de visita', 'Papel cartão', 'Polícia', 'Presidente do Brasil']"
26,Vaza conversas íntimas de Michelle Bolsonaro e Daniel Vorcaro,Estadão,https://www.estadao.com.br/estadao-verifica/michelle-bolsonaro-affair-vorcaro-ataque-genero/,Falso,2026-05-26 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ2LDid02dkKePqA8RpTa6cAvkSO_MXH6I08KO5tKvKa_SiFe6W,"['Michelle Bolsonaro', 'Daniel Vorcaro']"
27,Daniel Vorcaro delatou à Polícia Federal participação de Lulinha e de Moraes em atentado a Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.A9HU89E,Falso,2026-04-30 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSeOq3yZEWkg-Ld2RIK6Ujl-vRvwfzBPN1kWFIF0LNN9BIrZ4mb,"['Daniel Vorcaro', 'Fábio Luís Lula da Silva', 'Alexandre de Moraes', 'Jair Bolsonaro', 'Departamento de Polícia Federal', 'Polícia Federal', 'Polícia']"
28,Vorcaro revelou participação de Lulinha e Moraes em atentado a faca contra Bolsonaro,Estadão,https://www.estadao.com.br/estadao-verifica/falso-daniel-vorcaro-revelacoes-sobre-adelio-bispo/,Falso,2026-04-30 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQU8dPBdaZyDdH2FqeqShXaQ7e0aA4EG6H9N9E5ooN0I2_aGr6O,"['Daniel Vorcaro', 'Jair Bolsonaro', 'Alexandre de Moraes', 'Fábio Luís Lula da Silva', 'Faca']"
29,Daniel Vorcaro entregou em delação quem foi responsável pelo atentado contra Bolsonaro em 2018,Aos Fatos,https://www.aosfatos.org/noticias/vorcaro-delatou-mandante-atentado-bolsonaro/,Falso,2026-04-28 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSbqMdMX7Kgb1_2HcyGlYFNQ8OuUifBFw76CZ4rYSWicI_x6rz2,"['Daniel Vorcaro', 'Jair Bolsonaro', 'Delação premiada', 'Atentado contra Jair Bolsonaro', '2018']"
30,Vídeos de personalidades públicas brasileiras criticando Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.A96M7KE,Falso,2026-04-27 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSAY8y-Xo-zXChmmRHqvi7wrjwnA-tctGlY27bwbsNGskQ9r8xG,"['Jair Bolsonaro', 'Vídeo', 'Brasil', 'Personalidade']"
31,Juíza corajosa desafia Moraes e manda libertar Jair Bolsonaro,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/04/27/falso-juiza-mandou-libertar-jair-bolsonaro.ghtm,Falso,2026-04-27 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcT3egCaCvW22cuNbj1zFB0er0RwXotjb3VE3UI3GnDduAy7S7Vz,"['Jair Bolsonaro', 'Alexandre de Moraes', 'Juiz']"
32,Juíza desafia Moraes e ordena soltura de Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/juiza-mandou-soltar-bolsonaro/,Falso,2026-04-24 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQA_0sF4z0-_vG7yqIsC-7XKq-iFGP9IsD4EpZCIZEitzUWJhWe,"['Jair Bolsonaro', 'Juiz', 'Alexandre de Moraes']"
33,Ulysses Guimarães critica Bolsonaro em 1988,AFP Checamos,https://checamos.afp.com/doc.afp.com.A8FJ8T4,Falso,2026-04-20 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPbEs6ZqfacfbO2nrraxUSIcjSQbFbZR6HbTkaokpRrYsj3U5G,"['Ulysses Guimarães', 'Jair Bolsonaro', '1988']"
34,Bolsonaro não usou cartões corporativos enquanto era presidente,Aos Fatos,https://www.aosfatos.org/noticias/bolsonaro-cartao-corporativo/,Falso,2026-04-17 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQTa-KE85INpunnEVHExqd9-c0jwuBqUiatcrfYmqqFXw_bH1En,"['Jair Bolsonaro', 'Cartão de visita', 'Presidente']"
35,Em 1988 Raul Seixas se assusta com Bolsonaro,AFP Checamos,https://checamos.afp.com/doc.afp.com.A8472T3,Falso,2026-04-16 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRgIrOn-W5jCww5tiap6V7P-Bez2PWDo02vlWxItxnKAq6tOhov,"['Raul Seixas', 'Jair Bolsonaro', '1988']"
36,Paulo Guedes disse que Bolsonaro dependia dos filhos para aprovar tudo na Presidência,Aos Fatos,https://www.aosfatos.org/noticias/guedes-bolsonaro-nao-mandava-em-nada/,Falso,2026-04-15 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQ3ufVd2yGWfl2Yi14j5r-kuiUbMplr7pDOsv8AHO4fQqqU-kVF,"['Jair Bolsonaro', 'Paulo Guedes', 'Presidente do Brasil', 'Filho']"
37,Alexandre Frota confessou ter namorado Jair Bolsonaro por dois anos,Estadão,https://www.estadao.com.br/estadao-verifica/alexandre-frota-namorou-bolsonaro-enganoso/,Falso,2026-04-15 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRZWw3jQ77RPQlxURZOScET_HWOGpxtQstQxWwcMlnv5FWdkYLX,"['Alexandre Frota', 'Jair Bolsonaro', 'Namoro']"
38,Alexandre Frota confessa que foi namorado de Bolsonaro por dois anos o artista pornográfico era namorado de Bolsonaro,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/04/15/falso-alexandre-frota-namorou-jair-bolsonaro.ghtm,Falso,2026-04-15 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSNIoBGRaGK7MThF5k1fQHStPjO9Vi77X6JFbPZy4UlLnWdb_4y,"['Alexandre Frota', 'Jair Bolsonaro', 'Namoro', 'Pornográfico', 'Artista']"
39,"Paulo Guedes diz que Bolsonaro não mandava na presidência e dependia dos filhos Eduardo e Flávio para aprovar tudo. Guedes diz que “cansava de reclamar que os filhos queriam colocar o dinheiro dos negócios junto com o Queiroz no orçamento secreto, sendo que o presidente Bolsonaro não sabia de nada”.",Estadão,https://www.estadao.com.br/estadao-verifica/video-paulo-guedes-filhos-bolsonaro-mandavam-presidencia-ia-falso/,Falso,2026-04-14 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTsMbeP_lcBBjzgp7kgFurAPwZarSUpnc7HNNijYP3KAT-9XM8K,"['Jair Bolsonaro', 'Paulo Guedes', 'Flávio Bolsonaro', 'Presidente do Brasil', 'Orçamento secreto', 'Presidente', 'Eduardo Bolsonaro', 'Negócios']"
40,Band foi pressionada a demitir comentarista após ele criticar o conluio entre o STF e a PGR contra Bolsonaro,Estadão,https://www.estadao.com.br/estadao-verifica/band-demite-comentarista-stf-bolsonaro-falso/,Falso,2026-04-13 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQwYGhF4YD3X2SWam8l1vcGMPu2xtPElyP-DkNe_QGabhbmAzhx,"['Procurador-Geral da República', 'Band', 'Comentarista', 'Jair Bolsonaro', 'Supremo Tribunal Federal', 'Demissão', 'Conluio']"
41,Flávio prometeu “auxílio sacolão de ossos” caso seja eleito,Aos Fatos,https://www.aosfatos.org/noticias/flavio-bolsonaro-auxilio-sacolao-osso/,Falso,2026-05-06 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcR1s52V4Ep1YrRUuyTotVzDtoeRgnNZ1tgH2LZ80517rVW1ntV1,"['Flávio Bolsonaro', 'Osso', 'Eleição']"
42,A Polícia Federal pede a prisão do Alexandre de Moraes por fraudar Documentos falsos contra o Jair messias Bolsonaro.,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/04/10/falso-pf-pedido-prisao-alexandre-de-moraes.ghtm,Falso,2026-04-10 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRWkCX_DTBw1RIfkt4t2qIWYDdwCuqpDkoWsEaoAobX3chTlXjb,"['Alexandre de Moraes', 'Polícia Federal', 'Departamento de Polícia Federal', 'Fraude', 'Jair Bolsonaro', 'Prisão', 'Documento', 'Polícia']"
43,Gonzaguinha critica Bolsonaro em 1990,AFP Checamos,https://checamos.afp.com/doc.afp.com.A7F44KE,Falso,2026-04-10 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSKsGnqwO7gR22Tsdns5vsbQ6AkqxZhOwiblDW4XR17rFKtT-7R,"['Jair Bolsonaro', 'Gonzaguinha']"
44,Ludmilla denuncia Jair Bolsonaro por caso de racismo,AFP Checamos,https://checamos.afp.com/doc.afp.com.A7BB8WE,Falso,2026-04-09 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQ36pWM1X5_RILCDol98rHmJ50xCgvjfN6EvskCMHC_8HZAcaWn,"['Jair Bolsonaro', 'Ludmilla', 'Racismo', 'Denúncia']"
45,Em 1988 Renato Russo já dava alerta sobre Bolsonaro,BOL - UOL,https://www.bol.uol.com.br/noticias/2026/04/07/falso-videos-renato-russo-cazuza-gonzaguinha-critica-jair-bolsonaro.amp.htm,Falso,2026-04-07 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRIYbtsUTIxDA5G_k9Cgf5-_41oFv-INXXAzDIHF0XGQhiLs14k,"['Renato Russo', 'Jair Bolsonaro', '1988']"
46,"PF pediu prisão de Moraes, que fraudou documentos contra Jair Bolsonaro",Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-pf-pediu-prisao-de-moraes-por-fraude-documental-contra-bolsonaro/,Falso,2026-04-06 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQ7esHfltavBnUzdxY8FL3IqGYfURDVRXkGFcdWTBlg5nQfdjDl,"['Alexandre de Moraes', 'Jair Bolsonaro', 'Polícia Federal', 'Departamento de Polícia Federal', 'Prisão', 'Documento']"
47,Personalides como Renato Russo alertaram no passado sobre perigo que Bolsonaro representava,Estadão,https://www.estadao.com.br/estadao-verifica/videos-usam-ia-para-criar-alertas-de-gonzaguinha-renato-russo-e-cazuza-sobre-bolsonaro/,Falso,2026-04-06 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcS7QaaJXADscfTFv4dwIqlWv57sDRjiHazuVSvwai8Wn1AtCXu4,"['Jair Bolsonaro', 'Renato Russo']"
48,"""PERNAMBUCO SURPREENDE O BRASIL. Nova pesquisa mostra um cenário que muita gente não esperava ver no Nordeste. Flávio Bolsonaro: 50,5% Lula: 38,1% Aldo Rebelo: 5,8%.Se esses números se confirmarem, não é apenas uma pesquisa. É uma mudança de vento político""",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/04/30/enganoso-pesquisa-pernambuco-flavio-bolsonaro-lider-lula.ghtm,Falso,2026-04-30 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTB1JKst3iT4ftgNngUXTrRGGPRZcd6GtAs31WN8YT0vB00oEax,"['Flávio Bolsonaro', 'Luiz Inácio Lula da Silva', 'Pesquisa', 'Político', 'Aldo Rebelo', 'Pernambuco', 'Brasil', 'Número', 'Região Nordeste do Brasil']"
49,Vídeo mostra Bolsonaro e Michelle comemorando prisão domiciliar em 2026,AFP Checamos,https://checamos.afp.com/doc.afp.com.A6LU69F,Falso,2026-04-02 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQjEfzoc1L4LGAQ8IHmlEuRn-mIPcW4Hs0SoeVFyW55FfCXwLyT,"['Jair Bolsonaro', 'Michelle Bolsonaro', 'Prisão domiciliar', 'Prisão', '2026', 'Vídeo']"
50,Trump disse que vai prender Lula e libertar Jair Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/video-dublagem-falsa-trump-lula/,Falso,2026-03-31 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRbAn2EuAevLKij23limHeK8Q7LTgyrXv_EEN7FDmtddTdNrZoo,"['Donald Trump', 'Luiz Inácio Lula da Silva', 'Jair Bolsonaro']"
51,Jair Bolsonaro sai do hospital em pé acenando para apoiadores,Estadão,https://www.estadao.com.br/estadao-verifica/bolsonaro-acena-alta-hospital-enganoso-2025/,Falso,2026-03-30 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSu9T8wwHb26hWtCD6GUlUE6CqFcBrgvQ-N1czjZkRZ4UrCZ3xQ,"['Jair Bolsonaro', 'Hospital']"
52,A situação clínica do ex-presidente acaba de se agravar e informações de bastidores sugerem uma tentativa de eliminação física por agentes patogénicos colocados na sua cela,Observador,https://observador.pt/factchecks/fact-check-jair-bolsonaro-foi-envenenado-com-chumbo-dentro-da-prisao/,Errado,nan,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['Presidente', 'Informação', 'Agente patogénico', 'Física']"
53,"Jair Bolsonaro (PL) mente sobre seu estado de saúde, pois deixou hospital caminhando e acenando",Aos Fatos,https://www.aosfatos.org/noticias/video-em-que-bolsonaro-sai-de-hospital-andando-e-de-2025/,Falso,2026-03-26 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTAoAbAB-ecxDjnrx-tSZfKgELBuf6ulJ2vEsDPxWL_oEnStXvU,"['Jair Bolsonaro', 'Hospital', 'Partido Liberal', 'Saúde', 'Mente']"
54,Vídeo mostra Bolsonaro deixando UTI do hospital,Estadão,https://www.estadao.com.br/estadao-verifica/video-em-que-bolsonaro-circula-em-corredor-de-hospital-foi-feito-apos-cirurgia-em-2025-nao-agora/,Falso,2026-03-25 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTmHjTzqNzmomPAXxeJaBT8IRBt17RaJKPSUManrgBuJOMDgAIA,"['Jair Bolsonaro', 'Hospital', 'Unidade de terapia intensiva', 'Vídeo']"
55,"Esposa do médico de Jair Bolsonaro publicou foto em que ex-presidente aparece em pé e sorridente no quarto do hospital DF Star, em Brasília, após receber alta da UTI",Aos Fatos,https://www.aosfatos.org/noticias/foto-que-mostra-bolsonaro-em-pe-e-sorridente-no-hospital-nao-e-atual/,Falso,2026-03-25 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSDtnO8kKLz-n7h0LHEn7jNZIJZZ4M33Qt2rSzut_QGTzDS6eZh,"['Jair Bolsonaro', 'Hospital', 'Presidente', 'Fotografia', 'Medicina', 'Unidade de terapia intensiva', 'Brasília', 'Quarto']"
